Indicator,Assigned_SDG_Class,11.1.1 Proportion of urban population living in slums informal settlements or inadequate housing. 11.1 By 2030 ensure access for all to adequate  safe and affordable housing and basic services and upgrade slums,11.2.1 Proportion of population that has convenient access to public transport by sex age and persons with disabilities. 11.2 By 2030 provide access to safe affordable accessible and sustainable transport systems for all improving road safety notably by expanding public transport with special attention to the needs of those in vulnerable situations women children persons with disabilities and older persons,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,11.4.1 Total per capita expenditure on the preservation protection and conservation of all cultural and natural heritage by source of funding (public private) type of heritage (cultural natural) and level of government (national regional and local/ municipal) 11.4 Strengthen efforts to protect and safeguard the world's cultural and natural heritage,11.5.1 Number of deaths missing persons and directly affected persons attributed to disasters per 100 000 population. 11.5 By 2030 significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters including water-related disasters with a focus on protecting the poor and people in vulnerable situations,11.5.2 Direct economic loss attributed to disasters in relation to global gross domestic product (GDP) 11.5 By 2030 significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters including water-related disasters with a focus on protecting the poor and people in vulnerable situations,11.5.3 Damage to critical infrastructure and (b) number of disruptions to basic services attributed to disasters 11.5 By 2030 significantly reduce the number of deaths and the number of people affected and substantially decrease the direct economic losses relative to global gross domestic product caused by disasters including water-related disasters with a focus on protecting the poor and people in vulnerable situations,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,11.6.2 Annual mean levels of fine particulate matter (e.g. PM₂.₅ and PM₁₀) in cities (population weighted) 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,11.7.1 Average share of the built-up area of cities that is open space for public use for all by sex age and persons with disabilities. 11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities,"11.7.2 Proportion of persons victim of non-sexual or sexual harassment by sex age disability status and place of occurrence in the previous 12 months ""11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities","11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",11.b.1 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015–2030 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels,11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials
Remanufacturing Practices,11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,-0.010541346742483552,-0.006040741673398075,0.003923323174537219,0.007383208266563059,-0.0046951820508657005,0.0010670796582003081,0.005439381026403679,0.003812124832661945,-0.0017483250499790277,-0.0323717583868277,-0.030438324353911625,-0.023560154058136006,-0.018930336079475644,-0.031042757263813895,-0.02394800911969582,0.023368222359106836
Extended Producer Responsibility (EPR) Initiatives,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,-0.0015486508374872936,-0.0035503513396338148,0.00454026443770367,0.0009832822230309234,-0.0025162426522853405,-0.0037632857621753427,-0.004534116407886058,-0.0030974234502877643,-0.008004404805525406,-0.001850174764249856,-0.008337671650323208,-0.007128193083508475,-0.007307560358065044,-0.004958086750013095,-0.0033234961069607207,-0.0013557928289911973
Material and Energy Conservation,11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,-0.010552585331075994,0.002630843313375001,0.06278613217981618,0.047735446787468876,0.3231489446217144,0.00436322213907661,0.003535698046555958,0.002154919074665073,0.04799541323789681,0.006518808079380592,-0.01051010122447552,-0.025572091828970717,-0.007191977986848057,0.030303314988048235,0.02993322855307319,-0.02317584184216139
Resource-Efficient and Circular Material Life Cycles,11.1.1 Proportion of urban population living in slums informal settlements or inadequate housing. 11.1 By 2030 ensure access for all to adequate  safe and affordable housing and basic services and upgrade slums,0.013857799256054834,0.012092220328218368,-0.00587093235249321,-0.00538872313650212,0.0024772112560372916,-0.006157788805069044,0.0033232857322125164,-0.005421592159977967,-0.004252974328346319,-0.028113879713554283,0.003303713438379895,0.02094319703445079,-0.021513792903567457,-0.015673051131773,-0.006934223930288439,0.023226215966797834
Remanufacturing Processes,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",-0.004084432933295112,-0.023893530787939123,-0.059064497343672154,-0.0736899229071921,0.0005050376512394223,-0.0009131631035919338,-0.0032486002845325238,-0.0006845420181100694,0.015143841337922537,0.0019569783209004966,-0.003885809924371814,-0.015584561943285368,-0.006449706736196151,-0.013614322854536525,-0.012471879076263159,-0.01898719267801093
Extended Producer Responsibility Initiatives,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,-0.00154865083748729,-0.003550351339633868,0.004540264437703653,0.0009832822230309221,-0.0025162426522853457,-0.0037632857621753696,-0.004534116407886077,-0.0030974234502877404,-0.0080044048055255,-0.0018501747642498678,-0.008337671650323217,-0.00712819308350849,-0.007307560358065075,-0.0049580867500130105,-0.0033234961069607827,-0.0013557928289912036
Renewable Energy Penetration,11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,0.002273090401013396,0.038428263222519944,0.015676323041922874,0.017440799924236576,-0.01494021169214301,-0.008634999135925527,-0.006818223598423167,-0.008264910766457006,-0.0017597463181033036,0.00930951903019307,-0.01505161063434368,0.0011096070988559975,0.02141259499385267,0.015447956140687134,0.013231197396909557,0.020595169830853573
Access to Electricity,11.6.2 Annual mean levels of fine particulate matter (e.g. PM₂.₅ and PM₁₀) in cities (population weighted) 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,0.5429580304487791,0.5366251927354317,0.010443836393294189,0.01164891400829408,0.012569487310134008,0.019570620167408452,0.012726346825345158,0.018701214978373702,-0.026234848077616217,-0.036409870679754965,0.30632621659648224,0.4172322510817087,-0.003553171625614254,0.006534397057723605,0.00420951343187135,-0.0076227056440544595
Circular Economy (CE) Innovation Budget,11.1.1 Proportion of urban population living in slums informal settlements or inadequate housing. 11.1 By 2030 ensure access for all to adequate  safe and affordable housing and basic services and upgrade slums,0.024434682104717175,-0.005438189815798551,0.026864270601256957,0.01915508902353841,-0.07517880083696372,0.020489360169183072,0.02560996906994335,0.03366200776266984,0.02660039395762988,0.024246676045950908,-0.016958616908584648,-0.015580710394748327,0.07912098744401136,-0.011987356162051047,-0.02580888122908672,-0.026077680372376517
Renewable Energy Systems Penetration,11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,0.00795978780617966,0.08828856197394533,0.0077776049867806256,0.009294540716159335,0.09752907297045676,0.002064655329715045,0.005077020024448615,0.004529371073914044,-0.00999056904538043,0.0046377979084115525,-0.005535306958357923,0.006385573757032043,0.026218762807717424,0.010327828635243225,0.01060617204721957,0.019931630443309988
Efficient Use of Energy,11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,-0.012528258661485525,0.05178356583009337,-0.00947654861149537,-0.01917526278763839,-0.01042482451786655,-0.017401216234731356,-0.00767126335221173,-0.01853759141031381,0.01326066087954574,-0.03167006497544855,0.13359942952164017,-0.018527907955066213,-0.02896002920490535,-0.04823879863655017,-0.04043578350666732,-0.012255178048497035
Grid Integration,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",0.0022056228066009995,-0.015526826447962112,0.030735798964994877,0.013303186993740104,-0.024129738399595882,-0.0980883975402747,-0.08370267614761735,-0.0910385087428348,-0.014317986440776722,-0.006048770177253819,-0.015743769541485188,-0.015732118706216932,-0.061144146205960356,-0.03142719864303121,-0.025260840566608888,-0.08445929678562641
Energy Consumption,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,-0.01967698286725922,0.013420594605746164,0.21185715042735884,-0.039206979388937274,-0.009243848773493395,0.031349205586122975,0.023979386737805822,0.023658857912923974,0.0014518400637537285,0.0135031031936309,-0.015304670251234128,-0.020034417921359397,-0.02273526953982649,0.01848425477622723,0.018323926039616183,-0.017120607377461006
Carbon Footprint and Greenhouse Gas Emissions,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials,0.008701281223158127,-0.007953611474953938,0.001105867053042168,0.0417276322929989,-0.02275372425409581,0.03143720223539745,0.01859041861078712,0.028568340821563017,0.03837145610204193,0.08756605656952116,0.04086322126138044,0.003985163539715219,0.010128333882628815,0.06136863258831377,0.0476639917307707,-0.02743814633576901
Carbon Storage and Sequestration in Vegetation and Soil,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",0.013368665208512718,-0.030561545729286037,0.053998021922138754,0.05781723836209862,0.016764105743386357,0.0036771872607968973,0.00649719227947014,0.007971565424864642,0.02733738701030146,0.03318686339403484,-0.04322858125065409,-0.041112624631500845,0.025031138788187694,0.021447297165386955,0.01972523209173869,-0.028784058769849664
Flow of Emissions,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,-0.0016112193326052616,0.005223638764877423,-0.00878796077604449,-0.014817992217973612,0.021716603081511538,-0.00949044606741084,-0.00792771901080198,-0.007672185348316566,-0.023874576875164186,-0.02157461517172323,-0.004847476990735308,0.0021575900643821563,-0.011822409361525994,-1.982351788335485e-05,0.005463804819068284,-0.013563709442325027
Material Flow Analysis (MFA),11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,-0.012737896813421221,-0.012080308029325804,0.020298769122142565,0.009315695960867022,0.0027298854052460434,0.0439163390960223,0.042738776645987485,0.03887456968200004,0.030770495327859956,0.021922824710940828,0.006523712816241361,-0.0017466829620267233,-0.007884507496127863,-0.013223415537986697,-0.019850446386183294,-0.0030309111217259243
Renewable Energy Usage,11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,-0.009706767623269559,0.11332482450729336,-0.016826305266250747,0.005895500346941377,-0.056098110560102984,-0.014577731613371194,-0.011033133008613197,-0.025030433163377774,0.01744922586084662,0.0026486727553744305,0.04380698032016488,0.03967958467666435,-0.0008580111928818118,-0.009437004496298739,-0.008667339523884997,-0.0012059250355816369
Resource Efficiency and Productivity,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,0.0002780879774576413,-0.004868612255752114,0.01779203959582296,-0.008361640575228755,0.07277354933130467,-0.04360899400917468,-0.044567957857966245,-0.03903696361924472,0.01494592291082409,-0.016210322847627953,-0.004505137153789013,0.009186508676107014,-0.003779780122501104,0.250521295440218,0.22377346045538055,-0.013165084045800938
Total Raw Material Productivity,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",-0.01060129934536864,-0.019677788240274573,-0.02056705390759971,0.003804239977242272,0.16508310515475,0.041645902663041495,0.044018974925062605,0.04153380718767005,0.1480691056337025,0.03540823706689666,-0.0071360015734454815,-0.022399249072594784,0.01401080878842357,0.07183296809908805,0.06342011605810118,0.010182638786686876
Water Reduction in Production Processes,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials,0.003897604368439094,0.043201218338365766,0.10184272026082773,0.086139184725122,0.015673690493524833,-0.00856881786706358,-0.004799900939878851,-0.01485727914469958,0.009835178436369482,0.029547293767970932,0.07459180467016258,0.07459633136919588,0.004067952204026792,0.267756889576144,0.24419019351147428,0.03232133166256369
Reduction in Potable Water Consumption,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,0.036476207093809415,-0.01103913185638515,0.24714106128245955,0.02753233837958163,-0.038353915425700325,0.00839495672358449,0.0025060723777191917,0.009235288099007009,-0.009986341087954582,0.006918954712869616,0.007879741790459397,0.01343367422346351,0.0046917253068372985,0.290372869397995,0.2664013336657007,0.0015581640095202643
Efficient Use of Water Resources,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,0.02569691525194302,0.027834635146136533,0.042521477071662706,0.04143541633434122,-0.03310289713001258,-0.008208758955975183,-0.0051663087957404905,-0.006367262185852701,0.0007258995730011221,-0.019581699794434502,0.14123542014128376,0.014805558226742276,-0.0015737756471293771,0.014738136185079466,0.015892539686548995,-0.006652467496457101
Safe Water Accessibility,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials,0.15807564460729265,0.11730402023992105,0.045448924226317564,0.03769568011288848,0.0018083432878140706,0.016904635281830702,0.011161729472498891,0.020631423558488564,-0.022373599011912586,-0.028669962420484436,0.11316524530669095,0.1433652931909897,0.03585045140619809,0.033906798067322934,0.02745433412321968,-0.011688460609728299
Water Quality and Availability,11.6.2 Annual mean levels of fine particulate matter (e.g. PM₂.₅ and PM₁₀) in cities (population weighted) 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,0.04371631502020031,0.03339862231286795,0.030783604978611417,0.028147268795254306,-0.0009324994195843293,-0.033396747110759455,-0.027456682989869252,-0.03232485083539329,0.2501719587541543,0.3653658561507978,0.06924298977360206,0.08854738752216053,-0.007376904469863816,0.018235264376524216,0.023150116851458055,-0.002824310185212652
Grey-Water Reuse and Black-Water Recycling,11.3.1 Ratio of land consumption rate to population growth rate. 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,-0.011401228492965446,-0.0010796152467744966,-0.007477558847977997,-0.026447026549131603,-0.013129890443363549,0.01284821474294255,0.00852962534904191,0.005869494361799282,-0.0027949534724648595,0.0023887129968367883,-0.004130151880719547,-0.0036088619228808972,-0.005080874237310686,-0.0013715849880753933,-0.002333709578487954,0.01832060144538489
Amount of Water Used in Houses,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials,0.02728511109650367,0.01011095057727698,-0.0002916741519002957,-0.013979622888193455,0.015916055562490494,0.007513773424536803,0.005683942889502122,0.0028657297825630842,-0.01586950340476162,-0.020531060532667948,0.014358179202986066,0.0329063760190463,-0.010397726388226369,0.0011525288797007663,-0.004789373356161166,0.006763434864414116
Amount of Water Used in Other Sectors,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials,0.025611065468395935,0.011893984682013805,-0.0027209773101200207,-0.014848531175182016,0.011732050421016415,0.00026909542131593354,-0.00111517151128085,-0.005248190832927726,-0.01740093893165624,-0.019228787952013368,0.016223214665035804,0.03677337281742416,-0.009146734026387025,0.004115010801721681,-0.0008371058284558451,0.009052536704911218
Integration of Water Resource Management with Human and Material Potential,11.b.2 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies 11.b By 2020 substantially increase the number of cities and human settlements adopting and implementing integrated policies and plans towards inclusion resource efficiency mitigation and adaptation to climate change resilience to disasters and develop and implement in line with the Sendai Framework for Disaster Risk Reduction 2015-2030 holistic disaster risk management at all levels,0.01653106461174079,0.022454879995084172,0.2593776570598481,0.4136022211323655,0.0006691584998488863,-0.015232035647965797,-0.023530000830640073,-0.016617198536276287,0.13010493294726247,0.1523629807984831,0.0079803098412365,0.005987686887195205,-0.025514201857014095,0.21575353642488962,0.2113066406358999,-0.023934210596779963
Strategies to Enhance Material and Human Engagement in Water Conservation,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials,0.01557618666684922,0.003762420091483424,0.2778858470128471,0.28593647629811536,0.2378279746648533,-0.012464641953770965,-0.010854047581389796,-0.012324288332015139,0.005672494480115829,0.008537650428899349,0.015730581434363844,0.021634815669508464,-0.0025154016693921433,0.1641655388122534,0.23043060801791426,0.001998116267447664
Protecting the Natural Environment and Regenerating Natural Systems,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",0.007545841083766552,0.13772274218123587,0.008868003538101093,0.015818471361053948,0.5402069817073225,0.15438544630288278,0.15268089508192237,0.14115628493022273,0.019244307464360427,0.032100361390251776,-0.0033109244802360864,-0.019275243835223336,-0.007579856446700389,-0.0018629546389985821,-0.004467037612785286,-0.02899159210859922
Air Quality Assessment,11.6.2 Annual mean levels of fine particulate matter (e.g. PM₂.₅ and PM₁₀) in cities (population weighted) 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,-0.06026847079922809,-0.05708207469930521,0.014918901354808434,0.019742023857840237,-0.0031643041623769007,0.027731571208004794,0.020091748878106597,0.027685349034561768,0.33414480230116583,0.4936745376190544,-0.04538434511811368,-0.06443203226093287,-0.001355441734572929,0.017059310484282726,0.008489429649545032,-0.012248055731941635
Virgin Resources Used,11.c.1 Currently  there is no indicator available for this target. 11.c Support least developed countries including through financial and technical assistance in building sustainable and resilient buildings utilizing local materials,-0.011314476967761326,-0.018352679083459243,-0.03529139562498797,-0.034535339864131105,-0.08072557571225655,0.00540379421139888,-0.004922088719977016,0.008145243511605501,-0.041682405581280405,0.009402030568273581,0.0026852890557212314,-0.01812223980301548,0.01612510262313064,-0.010132177007129303,-0.013164947397243432,0.0061665428974153275
Biogas Utilization and Impact,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",-0.017939429458328014,-0.020833091520294847,-0.02686213112319606,-0.013320896509559282,0.039286292692124115,-0.0783463859240352,-0.04704715932171675,-0.07445441493040465,0.19592313963366495,0.26006661140826104,-0.0115354205600453,-0.017535592728046473,-0.08831170052714978,-0.07281707390337971,-0.06392540239625188,-0.02246083848280401
Ecological Restoration and Biodiversity Enhancement,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",0.005058152744913856,-0.01694596983315395,-0.0019441813819721077,0.0290859326871021,0.007864018895252779,0.02835681061790595,0.049236831569702606,0.033583957082932145,0.01772367553251147,0.08839382104755654,0.028325302197729944,-0.012015162323301418,-0.00015288208333905171,0.020084855753104924,0.020312584451926945,-0.0028312308676510323
Number of Projects Including Nature-Based Solutions,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",0.02707879553362093,0.0038546630095023307,-0.009276244524180507,0.005868089662765766,-0.005828112966037635,0.7050365055729914,0.5502942967564085,0.6564313038862883,0.17581320942056425,0.21777800852458634,0.002907526637787595,0.01778440126634198,0.23047718510372076,0.2764876513488569,0.14463760260304737,0.33999648179765085
Amount of Financial Support to Implement Nature-Based Solutions,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",-0.03227062727501319,-0.01194232770551754,-0.026220842183247908,-0.02839318205829171,0.009955921509558098,0.08692636762880762,0.0657488919460665,0.0746565162011369,0.007615799004638681,0.045498136081315664,-0.004566114627186071,-0.02082282457635685,0.1440658473665984,0.2467242996726824,0.21811079194972144,0.5287870994828237
Habitat Restoration,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",0.029313040699892722,-0.031744390158310945,-0.005655258948951172,-0.01286419473108813,-0.029037098141503404,0.002123424875415914,0.005794147151340368,0.024595336878459086,-0.03529521927147014,-0.01980177988383201,-0.003786253018721378,0.0068985394468759256,0.01775987502285964,0.008333633449412903,-0.010667101115793788,-0.00945594322014056
Pollution Reduction Initiatives,11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated by cities. 11.6 By 2030 reduce the adverse per capita environmental impact of cities including by paying special attention to air quality and municipal and other waste management,0.000857810485343828,0.00907411516337016,-0.0203036864657052,-0.004798646427693234,-0.019283275554192743,0.013054921203799598,0.00890911931831956,0.014164663840868938,-0.031184069984335004,0.0030931002540014025,-0.0005090364466859385,-0.0027827811634270664,0.010395411455350828,0.3100690416678839,0.27726927890508013,0.00722332779252905
Carbon Management Practices,11.3.2 Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically 11.3 By 2030 enhance inclusive and sustainable urbanization and capacity for participatory integrated and sustainable human settlement planning and management in all countries,0.004701709581404309,0.056299553489788545,0.24138187209203182,0.42712573057968534,-0.01898864967980174,0.025811154873045868,0.024663922650529236,0.020443829882757857,0.16548304472397693,0.24786235777789808,-0.007714799538092566,0.004934674906127577,-0.0020429709802554027,0.14523504180317676,0.12233593923436754,-0.009645155212483344
Monetary Values of Each Vegetation Community Type,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",-0.013956304604936569,-0.014802067531407616,-0.0521799552170236,0.004675595634409377,0.13705887363499297,0.013609413655697757,-0.00745360499419238,0.006324769248575469,-0.02195869211236388,-0.04841303815875264,0.02549766240616021,0.024886767743102788,0.0031017728490972275,0.01678051171146681,0.010463619779708557,0.0216803448099455
Distribution of Public Green Space,11.7.1 Average share of the built-up area of cities that is open space for public use for all by sex age and persons with disabilities. 11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities,0.01147617423590155,0.327588925299626,0.12057206147295997,0.17841596266283746,0.011805600228137189,-0.04506672517995306,-0.03879048226392476,-0.028401826860834953,0.008215269420588828,-0.002194331235232393,0.659707467053498,0.45555525231830424,0.1758691132877722,-0.008012252791055474,0.006557675221466254,0.02297379943131517
Amount of Pollutants Captured by Vegetation,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",-0.015029115782331138,0.013356192749562679,-0.007677345808609562,-0.03684105362216374,0.13727554621531238,-0.10822601712815316,-0.08023029646611898,-0.096908550368077,-0.03642906864249732,-0.022679830735949945,0.009957192988796687,0.022168274219228585,0.0012048973919689572,-0.04885239015616604,-0.023879407269655012,0.032347618173580533
Adaptation of Green and Blue Infrastructure,"11.7.2 Proportion of persons victim of non-sexual or sexual harassment by sex age disability status and place of occurrence in the previous 12 months ""11.7 By 2030 provide universal access to safe  inclusive and accessible green and public spaces in particular for women and children older persons and persons with disabilities",0.007049480327728405,0.005244009619326798,-0.02650997545461561,-0.031387476515513026,-0.00044714922409456467,0.006582181840653327,0.007106999626613268,0.21876209748120343,0.014001708188309772,0.010619400907289092,0.1586978250798598,0.220435800223601,0.049628358307128764,0.13064359210299362,0.11267833590391488,-0.009238568400826723
Restoration of Ecosystem Services,11.1.1 Proportion of urban population living in slums informal settlements or inadequate housing. 11.1 By 2030 ensure access for all to adequate  safe and affordable housing and basic services and upgrade slums,0.24321022562271405,0.06926505095030347,0.003067787792864524,0.009549247108169597,-0.008513520736952438,-0.0005584998999714376,0.0011071024949680288,0.16649059243760006,0.028798236015775268,-0.005709469806519404,-0.004970398012429085,0.0010615422669585368,0.011899886106164654,0.007964509537504195,0.020461887417675937,0.004655596473017282
Increase in Resilience to Climate Change,"11.a.1 Number of countries that have national urban policies or regional development plans that (a) respond to population dynamics; (b) ensure balanced territorial development; and (c) increase local fiscal space ""11.a Support positive economic  social and environmental links between urban peri-urban and rural areas by strengthening national and regional development planning""",0.0262169252451128,0.0040598903798384255,0.00781293438767868,0.006981632701480077,-0.0002770499620596145,-0.011012840516670626,-0.01113800623821023,-0.023502218142907497,0.019326154890683386,-0.010835236330811593,0.003688282634861479,0.0038033843855139584,0.16886750137138332,0.5615005916036809,0.5089856206892617,0.014596445900553505
